offerFulfillmentId,accountId,tsysAccountId,offerTriggerId,periodStartTimestamp,periodEndTimestamp,trackerType,status,currentValue,targetValue,points,fulfilledTimestamp,fulfilledTransactionId,createTimestamp,createUserId,updateTimestamp,updateUserId,eventType
-148,11611047,8928285,67,2025-09-19 00:00:00,2025-12-19 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-149,11611084,8928318,67,2025-09-19 00:00:00,2025-12-19 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-150,11611271,8928476,67,2025-09-19 00:00:00,2025-12-19 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-151,11611373,8928559,67,2025-09-19 00:00:00,2025-12-19 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-152,11611711,8928846,67,2025-09-19 00:00:00,2025-12-19 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-153,11611739,8928872,67,2025-09-19 00:00:00,2025-12-19 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-154,11611836,8928955,67,2025-09-19 00:00:00,2025-12-19 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-155,11611893,8929005,67,2025-09-19 00:00:00,2025-12-19 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-156,11612097,8929187,67,2025-09-19 00:00:00,2025-12-19 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-157,11612591,8929534,67,2025-09-20 00:00:00,2025-12-20 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-158,11612626,8929566,67,2025-09-20 00:00:00,2025-12-20 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-159,11612651,8929586,67,2025-09-20 00:00:00,2025-12-20 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-160,11612713,8929635,67,2025-09-20 00:00:00,2025-12-20 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-161,11612717,8929639,67,2025-09-20 00:00:00,2025-12-20 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-162,11616985,8930048,67,2025-09-23 00:00:00,2025-12-23 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-163,11613318,8930155,67,2025-09-20 00:00:00,2025-12-20 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-164,11613374,8930205,67,2025-09-20 00:00:00,2025-12-20 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-165,11613401,8930227,67,2025-09-20 00:00:00,2025-12-20 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-166,11613455,8930274,67,2025-09-20 00:00:00,2025-12-20 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-167,11613569,8930371,67,2025-09-20 00:00:00,2025-12-20 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-168,11613610,8930407,67,2025-09-20 00:00:00,2025-12-20 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-169,11614155,8930823,67,2025-09-21 00:00:00,2025-12-21 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-170,11614274,8930912,67,2025-09-21 00:00:00,2025-12-21 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-171,11614288,8930922,67,2025-09-21 00:00:00,2025-12-21 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-172,11614440,8931049,67,2025-09-21 00:00:00,2025-12-21 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-173,11614570,8931158,67,2025-09-21 00:00:00,2025-12-21 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-174,11614681,8931251,67,2025-09-21 00:00:00,2025-12-21 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-175,11614831,8931378,67,2025-09-21 00:00:00,2025-12-21 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-176,11614920,8931459,67,2025-09-21 00:00:00,2025-12-21 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-177,11615045,8931564,67,2025-09-21 00:00:00,2025-12-21 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-178,11615082,8931589,67,2025-09-21 00:00:00,2025-12-21 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-179,11615223,8931686,67,2025-09-21 00:00:00,2025-12-21 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-180,11615603,8931940,67,2025-09-22 00:00:00,2025-12-22 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-181,11615753,8932059,67,2025-09-22 00:00:00,2025-12-22 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-182,11616045,8932300,67,2025-09-22 00:00:00,2025-12-22 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-183,11616293,8932508,67,2025-09-22 00:00:00,2025-12-22 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-184,11616304,8932517,67,2025-09-22 00:00:00,2025-12-22 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-185,11616350,8932562,67,2025-09-22 00:00:00,2025-12-22 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-186,11616593,8932761,67,2025-09-22 00:00:00,2025-12-22 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-187,11616654,8932811,67,2025-09-22 00:00:00,2025-12-22 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-188,11617331,8933266,67,2025-09-23 00:00:00,2025-12-23 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-189,11617489,8933385,67,2025-09-23 00:00:00,2025-12-23 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-190,11617979,8933794,67,2025-09-23 00:00:00,2025-12-23 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
