TABLE_NAME,DATASET_ID,PLANNED_SCHEDULE,SOURCE,FREQUENCY,BUFFER_IN_MINUTES,BUSINESS_CUTOFF_TIME
CUST_MKTG_PREF,domain_dns,08:30,db,daily,30,
DNS_ACCT_CUST_ID_XREF,domain_dns,08:40,db,daily,30,
CARDGUARD_FRAUDFLAG,domain_fraud,08:25,db,daily,30,
FFM_MONETARY_AUTH_REQ_STAT,domain_fraud,08:45,db,daily,30,
FFM_MONETARY_AUTH_REQ,domain_fraud,08:50,db,daily,30,
GENERALLEDGER,domain_ledger,08:00,db,daily,30,
PORTFOLIO_DATA,domain_ledger,08:00,db,daily,30,
CAMPAIGN_TRANSACTION,domain_loyalty,08:00,db,daily,30,
CAMPAIGN_BIN,domain_loyalty,08:00,db,daily,30,
CATEGORY_CODE,domain_loyalty,08:00,db,daily,30,
POINTS_CALCULATOR,domain_loyalty,08:00,db,daily,30,
CAMPAIGN_COUNTRY,domain_loyalty,08:05,db,daily,30,
CAMPAIGN_CATEGORY,domain_loyalty,08:10,db,daily,30,
PCF_PRODUCT,domain_loyalty,08:10,db,daily,30,
CAMPAIGN_MERCHANT,domain_loyalty,08:15,db,daily,30,
LYLTY_QUE,domain_loyalty,08:40,db,daily,30,
POINTS_STAGING,domain_loyalty,08:40,db,daily,30,
PCF_POINTS_TX,domain_loyalty,08:40,db,daily,30,
PCF_CARD,domain_loyalty,08:40,db,daily,30,
CME_CUSTOMER,domain_marketing,06:05,db,daily,30,
DISPOSITION,domain_marketing,06:05,db,daily,30,
CUSTOMER_LOOKUP,domain_marketing,06:05,db,daily,30,
MEDIA_REFERENCE,domain_marketing,06:30,db,daily,30,
LS_ACCOUNT,domain_marketing,08:00,db,daily,30,
REF_TRX,domain_marketing,08:00,db,daily,30,
CUST_ACCT,domain_marketing,08:00,db,daily,30,
AUDIT_MAC_ACTIONS,domain_marketing,08:25,db,daily,30,
LOGIN_LOG,domain_marketing,08:25,db,daily,30,
OFFER,domain_marketing,08:30,db,daily,30,
CUSTOMER_MEDIA,domain_marketing,08:30,db,daily,30,
CHANNEL,domain_marketing,08:30,db,daily,30,
XSELL_LOG_DETAIL,domain_marketing,08:35,db,daily,30,
XSELL_LOG_SUMMARY,domain_marketing,08:35,db,daily,30,
INTERAC_INCOMING_XFER,domain_payments,07:45,db,daily,30,
FUNDSMOVE_SCHEDULE,domain_payments,08:05,db,daily,30,
MOVEMONEY_INST_ACCOUNT,domain_payments,08:10,db,daily,30,
EFT_FULFILLMENT,domain_payments,08:15,db,daily,30,
EFT_EXTACCT_LINK_REQ_STAT,domain_payments,08:15,db,daily,30,
INTERAC_RECV_XFER_REQ,domain_payments,08:20,db,daily,30,
BILLPAY_INSTRUCTION,domain_payments,08:25,db,daily,30,
CUSTOMER_BILLER,domain_payments,20:00,db,daily,30,
BILLER,domain_payments,20:00,db,daily,30,
BILLER_CATEGORIZATION,domain_payments,20:15,db,daily,30,
INTERAC_AUTODEP_REGISTER,domain_payments,20:16,db,daily,30,
REF_FINANCIAL_INSTITUTION,domain_payments,20:18,db,daily,30,
REF_CURRENCY,domain_payments,20:30,db,daily,30,
BILLER_CATEGORY,domain_payments,20:30,db,daily,30,
FUNDSMOVE_TYPE,domain_payments,20:30,db,daily,30,
REF_GL_ACTION_DESC,domain_payments,20:30,db,daily,30,
REF_CPA_TRANSACTION_TYPE,domain_payments,21:30,db,daily,30,
EFT_EXTERNAL_ACCOUNT,domain_payments,21:30,db,daily,30,
REF_EFT_REQTYPE_CD,domain_payments,21:30,db,daily,30,
REF_PCF_AUTH_REQ_KEY,domain_payments,21:30,db,daily,30,
EFT_EXTACCT_LINK_REQ,domain_payments,21:30,db,daily,30,
REF_GL_ACTION_CD,domain_payments,21:30,db,daily,30,
CPA_AUTOPAY_FULFILLMENT,domain_payments,21:30,db,daily,30,
EFT_INSTRUCTION,domain_payments,21:30,db,daily,30,
EFT_PCBORIGIN_OUT_REQ,domain_payments,21:30,db,daily,30,
INTERAC_RECONCILIATION,domain_payments,22:00,db,daily,30,
INTERAC_SETTLEMENT,domain_payments,22:00,db,daily,30,
LCL_STORE_LIST,domain_retail,08:00,db,daily,30,
REF_BANNER,domain_retail,21:00,db,daily,30,
REF_RETAIL_STORE,domain_retail,21:00,db,daily,30,
PUBLICATION,domain_technical,08:10,db,daily,30,
MEMO_REASON,domain_technical,08:30,db,daily,30,
REF_PUBLICATION_TYPE,domain_technical,21:30,db,daily,30,
BATCH_RUN_LOG,domain_technical,,db,hourly,60,
IDV_REQUEST,domain_validation_verification,00:00,db,daily,30,
IDV_SUBMISSION,domain_validation_verification,00:00,db,daily,30,
APPLICANT_PERSONAL_IDENTIFIER,domain_validation_verification,00:00,db,daily,30,
TAXPAYER_IDENTIFICATION,domain_validation_verification,00:00,db,daily,30,
IDV_DOCUMENT,domain_validation_verification,06:00,db,daily,30,
IDV_EVENT,domain_validation_verification,06:00,db,daily,30,
ONFIDO_APPLICANT,domain_validation_verification,08:05,db,daily,30,
ONFIDO_CHECK,domain_validation_verification,08:30,db,daily,30,
TS2_RPTREC,TriadReportDataset,,file,,,
TS2_ACCTSCORES_SC01_REC,domain_account_management,,file,,,
BATCH_AUTHORIZATION_LOG_TRLR,domain_account_management,23:00,file,daily,,
BATCH_AUTHORIZATION_MC_TE,domain_account_management,23:00,file,daily,,
BATCH_AUTHORIZATION_MC_TC,domain_account_management,23:00,file,daily,,
BATCH_AUTHORIZATION_MC_TA,domain_account_management,23:00,file,daily,,
BATCH_AUTHORIZATION_MC_TV,domain_account_management,23:00,file,daily,,
BATCH_AUTHORIZATION_MC_MISC,domain_account_management,23:00,file,daily,,
BATCH_AUTHORIZATION_MC_AC,domain_account_management,23:00,file,daily,,
EVENTS,domain_account_management,00:00,file,1-5,360,6:00
PC_DOWNLOAD,domain_account_management,,file,,,
PC_DOWNLOAD_TRLR,domain_account_management,,file,,,
AH02_HIST_BKP,domain_account_management,19:30,file,1-5,,
AH35,domain_account_management,19:30,file,1-5,,
AH02_ADJ_PASTDUE,domain_account_management,19:30,file,1-5,,
AH02_REAGE,domain_account_management,19:30,file,1-5,,
AH32,domain_account_management,19:30,file,1-5,,
AH01,domain_account_management,19:30,file,1-5,,
AH00,domain_account_management,19:30,file,1-5,,
AH02_DISPUTES,domain_account_management,19:30,file,1-5,,
AH02_CHG_OFF,domain_account_management,19:30,file,1-5,,
AH02_REGZ_HIST,domain_account_management,19:30,file,1-5,,
AH31,domain_account_management,19:30,file,1-5,,
AH02_CREDLIM_CHG,domain_account_management,19:30,file,1-5,,
AH02_COLL_AGENCY,domain_account_management,19:30,file,1-5,,
AH02_PTP,domain_account_management,19:30,file,1-5,,
ACCOUNT_HISTORY_TRAILER,domain_account_management,19:30,file,1-5,,
AH02_HIST_TYPE10,domain_account_management,19:30,file,1-5,,
TSYS_PCB_MC_ACCTMASTER_DAILY_AM0BR_REC,domain_account_management,22:00,file,1-5,480,
TSYS_PCB_MC_ACCTMASTER_DAILY_AM00_REC,domain_account_management,22:00,file,1-5,480,
TSYS_PCB_MC_ACCTMASTER_DAILY_AM0A_REC,domain_account_management,22:00,file,1-5,480,
TSYS_PCB_MC_ACCTMASTER_DAILY_AM04_PD,domain_account_management,22:00,file,1-5,480,
TSYS_PCB_MC_ACCTMASTER_DAILY_AM08_REC,domain_account_management,22:00,file,1-5,480,
TSYS_PCB_MC_ACCTMASTER_DAILY_AM33_REC,domain_account_management,22:00,file,1-5,480,
TSYS_PCB_MC_ACCTMASTER_DAILY_AM01_REC,domain_account_management,22:00,file,1-5,480,
TSYS_PCB_MC_ACCTMASTER_DAILY_AM0BH_REC,domain_account_management,22:00,file,1-5,480,
TSYS_PCB_MC_ACCTMASTER_DAILY_AM35_REC,domain_account_management,22:00,file,1-5,480,
TSYS_PCB_MC_ACCTMASTER_DAILY_AM0E_REC,domain_account_management,22:00,file,1-5,480,
TSYS_PCB_MC_ACCTMASTER_DAILY_AM02_REC,domain_account_management,22:00,file,1-5,480,
TSYS_PCB_MC_ACCTMASTER_DAILY_AM0F_REC,domain_account_management,22:00,file,1-5,480,
TSYS_PCB_MC_ACCTMASTER_DAILY_TRAILER_REC,domain_account_management,22:00,file,1-5,480,
TSYS_PCB_MC_ACCTMASTER_MONTHLY_AM0E,domain_account_management,,file,monthly,2880,
TSYS_PCB_MC_ACCTMASTER_MONTHLY_AM3A,domain_account_management,,file,monthly,2880,
TSYS_PCB_MC_ACCTMASTER_MONTHLY_AM0F,domain_account_management,,file,monthly,2880,
TSYS_PCB_MC_ACCTMASTER_MONTHLY_AM0BP,domain_account_management,,file,monthly,2880,
TSYS_PCB_MC_ACCTMASTER_MONTHLY_AM00,domain_account_management,,file,monthly,2880,
TSYS_PCB_MC_ACCTMASTER_MONTHLY_AM0BW,domain_account_management,,file,monthly,2880,
TSYS_PCB_MC_ACCTMASTER_MONTHLY_AM0A,domain_account_management,,file,monthly,2880,
TSYS_PCB_MC_ACCTMASTER_MONTHLY_AM32,domain_account_management,,file,monthly,2880,
TSYS_PCB_MC_ACCTMASTER_MONTHLY_ACCOUNT_MASTER_TRAILER,domain_account_management,,file,monthly,2880,
TSYS_PCB_MC_ACCTMASTER_MONTHLY_AM3B,domain_account_management,,file,monthly,2880,
TSYS_PCB_MC_ACCTMASTER_MONTHLY_AM0C,domain_account_management,,file,monthly,2880,
TSYS_PCB_MC_ACCTMASTER_MONTHLY_AM33,domain_account_management,,file,monthly,2880,
TSYS_PCB_MC_ACCTMASTER_MONTHLY_AM04_OL,domain_account_management,,file,monthly,2880,
TSYS_PCB_MC_ACCTMASTER_MONTHLY_AM0BH,domain_account_management,,file,monthly,2880,
TSYS_PCB_MC_ACCTMASTER_MONTHLY_AM04_S,domain_account_management,,file,monthly,2880,
TSYS_PCB_MC_ACCTMASTER_MONTHLY_AM0BI,domain_account_management,,file,monthly,2880,
TSYS_PCB_MC_ACCTMASTER_MONTHLY_AM04_PD,domain_account_management,,file,monthly,2880,
TSYS_PCB_MC_ACCTMASTER_MONTHLY_AM0BU,domain_account_management,,file,monthly,2880,
TSYS_PCB_MC_ACCTMASTER_MONTHLY_AM35,domain_account_management,,file,monthly,2880,
TSYS_PCB_MC_ACCTMASTER_MONTHLY_AM38,domain_account_management,,file,monthly,2880,
TSYS_PCB_MC_ACCTMASTER_MONTHLY_AM08,domain_account_management,,file,monthly,2880,
TSYS_PCB_MC_ACCTMASTER_MONTHLY_AM0BX,domain_account_management,,file,monthly,2880,
TSYS_PCB_MC_ACCTMASTER_MONTHLY_AM0BJ,domain_account_management,,file,monthly,2880,
TSYS_PCB_MC_ACCTMASTER_MONTHLY_AM09,domain_account_management,,file,monthly,2880,
TSYS_PCB_MC_ACCTMASTER_MONTHLY_AM04_PTP,domain_account_management,,file,monthly,2880,
TSYS_PCB_MC_ACCTMASTER_MONTHLY_AM01,domain_account_management,,file,monthly,2880,
TSYS_PCB_MC_ACCTMASTER_MONTHLY_AM0BR,domain_account_management,,file,monthly,2880,
TSYS_PCB_MC_ACCTMASTER_MONTHLY_AM02,domain_account_management,,file,monthly,2880,
TSYS_ACCT_MISC_MA01,domain_account_management,,file,,,
TSYS_ACCT_MISC_MA00,domain_account_management,,file,,,
TSYS_ACCT_MISC_MA03,domain_account_management,,file,,,
ACCOUNT_SCORE_TRAILER,domain_account_management,,file,,,
SC01,domain_account_management,,file,,,
SC00,domain_account_management,,file,,,
AT41_COMMON_INFO,domain_account_management,21:00,file,1-5,300,
AT41_AWARD_INFO,domain_account_management,21:00,file,1-5,300,
AT41_EUROPAY,domain_account_management,21:00,file,1-5,300,
AT41_LONG_DIST,domain_account_management,21:00,file,1-5,300,
AT41_STMT_MSG,domain_account_management,21:00,file,1-5,300,
AT41_REAGE,domain_account_management,21:00,file,1-5,300,
AT41_AIRLINE_INFO,domain_account_management,21:00,file,1-5,300,
AT41_BAL_ALLOC,domain_account_management,21:00,file,1-5,300,
AT41_AIRLINE_DATA,domain_account_management,21:00,file,1-5,300,
AT41_POINTS,domain_account_management,21:00,file,1-5,300,
AT31,domain_account_management,21:00,file,1-5,300,
AT21,domain_account_management,21:00,file,1-5,300,
AT41_PMT_CRED,domain_account_management,21:00,file,1-5,300,
AT41_MC_LODGE,domain_account_management,21:00,file,1-5,300,
AT41_MC_RENTAL,domain_account_management,21:00,file,1-5,300,
AT00,domain_account_management,21:00,file,1-5,300,
AT41_OUTSTAND_DIST,domain_account_management,21:00,file,1-5,300,
AT41_INSURANCE,domain_account_management,21:00,file,1-5,300,
AP_PURGED_ACCT,domain_account_management,,file,,,
AP_PURGED_ACCT_HEDR,domain_account_management,,file,,,
AP_PURGED_ACCT_TRLR,domain_account_management,,file,,,
CIF_ACCOUNT_CURR,domain_account_management,00:00,file,2-6,300,5:00
CIF_ACCOUNT_TRAIL,domain_account_management,10:00,file,2-6,,
CIF_CARD_CURR,domain_account_management,00:00,file,2-6,300,5:00
INS_NONFINANCIAL_CHGS,domain_account_management,19:30,file,1-5,,
INS_ENROLL,domain_account_management,01:30,file,2-6,270,
INS_CLAIM_STATUS,domain_account_management,19:30,file,1-5,,
INS_REQUEST_TRLR,domain_account_management,19:30,file,1-5,,
INS_PREMIUM_DATA,domain_account_management,19:30,file,1-5,,
INS_CANCEL,domain_account_management,01:30,file,2-6,270,
INS_TRANSFER_DATA,domain_account_management,19:30,file,1-5,,
PRODENH_CUST_INFO_CHG,domain_account_management,19:30,file,1-5,,
PRODENH_ACCT_STATUS_CHG,domain_account_management,19:30,file,1-5,,
PRODENH_ENHANCEMENT_TRLR,domain_account_management,19:30,file,1-5,,
PRODENH_ACCT_TRANSFER,domain_account_management,19:30,file,1-5,,
PRODENH_ENROLL_CONF,domain_account_management,19:30,file,1-5,,
PRODENH_CANCEL_CONF,domain_account_management,19:30,file,1-5,,
SA00,domain_account_management,,file,,,
SA15,domain_account_management,,file,,,
SA14,domain_account_management,,file,,,
SA60,domain_account_management,,file,,,
STMT_HO50_INDEXCTL,domain_account_management,,file,,,
SA10,domain_account_management,,file,,,
SA41,domain_account_management,,file,,,
SA30,domain_account_management,,file,,,
SA20,domain_account_management,,file,,,
SA40,domain_account_management,,file,,,
SA65,domain_account_management,,file,,,
SA59,domain_account_management,,file,,,
SA99,domain_account_management,,file,,,
SA85,domain_account_management,,file,,,
EMBOSSING,domain_card_management,03:00,file,daily,360,
EMBOSSING_TRLR,domain_card_management,03:00,file,daily,360,
EMBOSSING_REISSUE_TRL,domain_card_management,03:00,file,daily,360,
EMBOSSING_REISSUE,domain_card_management,03:00,file,daily,360,
EMBOSSING_RUSH,domain_card_management,23:50,file,daily,,
EMBOSSING_RUSH_TRL,domain_card_management,23:50,file,daily,,
LTTR_OVRD_HEAD_TRAIL_LTO,domain_customer_acquisition,01:30,file,daily,180,
LTTR_OVRD_DETAIL_LTO,domain_customer_acquisition,01:30,file,daily,180,
LTTR_OVRD_DETAIL_XTO,domain_customer_acquisition,02:30,file,daily,210,
LTTR_OVRD_HEAD_TRAIL_XTO,domain_customer_acquisition,01:30,file,daily,180,
SCORES_VAL_DTL_SCOR,domain_customer_acquisition,02:00,file,mondays,180,
SCORES_VAL_HEAD_TRAIL,domain_customer_acquisition,02:00,file,mondays,180,
SCORES_VAL_DTL_SCRD,domain_customer_acquisition,02:00,file,mondays,180,
APP_LOG_DETAIL,domain_customer_acquisition,02:00,file,daily,240,
APP_LOG_HEAD_TRAIL,domain_customer_acquisition,02:00,file,daily,240,
GEN_VAL_DETAIL,domain_customer_acquisition,02:00,file,daily,240,
GEN_VAL_HEAD_TRAIL,domain_customer_acquisition,02:00,file,daily,240,
ADM_STD_DISP_EMPM_INFO,domain_customer_acquisition,3:15,file,daily,105,5:00
ADM_STD_DISP_USER,domain_customer_acquisition,3:15,file,daily,105,5:00
ADM_STD_DISP_HEAD_TRAIL,domain_customer_acquisition,3:15,file,daily,105,5:00
ADM_STD_DISP_BAL_TRNS_INFO,domain_customer_acquisition,3:15,file,daily,105,5:00
ADM_STD_DISP_MEMO,domain_customer_acquisition,3:15,file,daily,105,5:00
ADM_STD_DISP_STOP_RECORD,domain_customer_acquisition,3:15,file,daily,105,5:00
ADM_STD_DISP_CUST_INFO,domain_customer_acquisition,3:15,file,daily,105,5:00
ADM_STD_DISP_TS2T_TMPL_INFO,domain_customer_acquisition,3:15,file,daily,105,5:00
ADM_STD_DISP_DECI_DATA,domain_customer_acquisition,3:15,file,daily,105,5:00
ADM_STD_DISP_APP_DATA,domain_customer_acquisition,3:15,file,daily,105,5:00
ADM_STD_DISP_DT_ELMT,domain_customer_acquisition,3:15,file,daily,105,5:00
ADM_STD_DISP_ADDR_INFO,domain_customer_acquisition,3:15,file,daily,105,5:00
OPERATOR_LOG_DETAIL,domain_customer_acquisition,02:00,file,mondays,240,
OPERATOR_LOG_HEAD_TRAIL,domain_customer_acquisition,02:00,file,mondays,240,
STMT_HEDR,domain_customer_management,,file,,,
STMT_CUSTOMER,domain_customer_management,,file,,,
STMT_TRLR,domain_customer_management,,file,,,
STMT_OFFER,domain_customer_management,,file,,,
CM01,domain_customer_management,,file,,,
CM05,domain_customer_management,,file,,,
CM04,domain_customer_management,,file,,,
CM00,domain_customer_management,,file,,,
CM06,domain_customer_management,,file,,,
CM34,domain_customer_management,,file,,,
CM03,domain_customer_management,,file,,,
CM02,domain_customer_management,,file,,,
CM07,domain_customer_management,,file,,,
CUSTOMER_MASTER_TRAILER,domain_customer_management,,file,,,
TSYS_PCB_MC_CUSTMASTER_MONTHLY_CM03,domain_customer_management,,file,,,
TSYS_PCB_MC_CUSTMASTER_MONTHLY_CM05,domain_customer_management,,file,,,
TSYS_PCB_MC_CUSTMASTER_MONTHLY_CM34,domain_customer_management,,file,,,
TSYS_PCB_MC_CUSTMASTER_MONTHLY_CM01,domain_customer_management,,file,,,
TSYS_PCB_MC_CUSTMASTER_MONTHLY_CM04,domain_customer_management,,file,,,
TSYS_PCB_MC_CUSTMASTER_MONTHLY_CM00,domain_customer_management,,file,,,
TSYS_PCB_MC_CUSTMASTER_MONTHLY_CM06,domain_customer_management,,file,,,
TSYS_PCB_MC_CUSTMASTER_MONTHLY_TRAILER,domain_customer_management,,file,,,
TSYS_PCB_MC_CUSTMASTER_MONTHLY_CM07,domain_customer_management,,file,,,
TSYS_PCB_MC_CUSTMASTER_MONTHLY_CM02,domain_customer_management,,file,,,
CARDGUARD_FRAUDLOG,domain_fraud,21:00,file,1-5,,
CARDGUARD_FRAUDLOG_TRLR,domain_fraud,21:00,file,1-5,,
TS2_GL_TRLR,domain_payments,,file,,,
TS2_GL_DETL,domain_payments,,file,,,
TS2_GL_HEDR,domain_payments,,file,,,
PORTFOLIO_HEDR,domain_payments,,file,,,
PORTFOLIO_TRLR,domain_payments,,file,,,
PORTFOLIO_DETL,domain_payments,,file,,,
TS2_POSTED_TX_TRLR,domain_payments,,file,,,
TS2_POSTED_TX_DETL,domain_payments,,file,,,
TS2_POSTED_TX_HEDR,domain_payments,,file,,,
TS2_TOKEN_NOTIFY_HEDR,domain_payments,,file,,,
TS2_TOKEN_NOTIFY_TRLR,domain_payments,,file,,,
TS2_TOKEN_NOTIFY_DETL,domain_payments,,file,,,
CREDSCORE_TSYSCONFM_TRAILER,domain_scoring,20:30,file,1-5,,
CREDSCORE_TSYSCONFM,domain_scoring,20:30,file,1-5,,
SECURITIZATION_TRLR,domain_securitization,,file,,,
SECURITIZATION,domain_securitization,,file,,,
CARDGUARD_CASELOG,domain_fraud,20:30,file,2-6,60,
CARDGUARD_CASELOG_TRLR,domain_fraud,20:30,file,2-6,60,
CARDGUARD_AUTHLOG,domain_fraud,23:00,file,2-6,60,
CARDGUARD_AUTHLOG_TRLR,domain_fraud,23:00,file,2-6,60,
PCF_CUST,domain_loyalty,18:05,db,daily,30,
CREDSCORE_T0010,domain_scoring,23:45,file,daily,30,
CREDSCORE_T0010_HEADER_TRLR,domain_scoring,23:45,file,daily,30,
BATCH_AUTHORIZATION_LOG,domain_account_management,00:00,file,daily,360,
