RAIL_TYPE,INITIATOR,TRANSACTION_CATEGORY,TRANSACTION_CD,DP_REF_NO,MERCHANT_CATEGORY,TERMINAL_ENTRY,TRANSACTION_METHOD,TRANSACTION_TYPE,TRANSACTION_DESC,TERMS_BALANCE_CD,CLASS_CD,CREATE_DT,CREATE_USER_ID,CREATE_FUNCTION_NAME,UPDATE_DT,UPDATE_USER_ID,UPDATE_FUNCTION_NAME
EPSH,PCB,0001,0160,21,,,ONLINE_BANKING,ADJUSTMENT_CREDIT,Funds In - EFT Out (PCB Originating) Adjustment - Credit,1001 - PR,,,,,,,
EPSH,PCB,0001,0130,21,,,ONLINE_BANKING,ADJUSTMENT_DEBIT,Funds Out - EFT Out (PCB Originating) Adjustment - Debit,1001 - PR,,,,,,,
NPFO,EXTERNAL,0001,0101,22,,,AUTOMATED,ELECTRONIC_FUNDS_DEBIT,Funds Out - Electronic Funds Transfer Out (Non PCB Originating),1001 - PR,,,,,,,
NPFO,EXTERNAL,0001,0160,22,,,ONLINE_BANKING,ADJUSTMENT_CREDIT,Funds In - EFT Out Non PCB Originating Adjustment - Credit,1001 - PR,,,,,,,
NPFO,EXTERNAL,0001,0130,22,,,ONLINE_BANKING,ADJUSTMENT_DEBIT,Funds Out - EFT Out Non PCB Originating Adjustment - Debit,1001 - PR,,,,,,,
FEE,NA,0010,0401,,,,AUTOMATED,SERVICE_CHARGE,Funds Out - Out-of-Network ABM Fee,1003 - FE,,,,,,,
FEE,NA,0010,0164,,,,ONLINE_BANKING,ADJUSTMENT_CREDIT,Funds In - ABM Fee Adjustment - Credit,1003 - FE,,,,,,,
FEE,NA,0010,0249,,,,ONLINE_BANKING,ADJUSTMENT_DEBIT,Funds Out - ABM Fee Adjustment - Debit,1003 - FE,,,,,,,
FEE,NA,0014,0254,98,,,AUTOMATED,SERVICE_CHARGE,Funds Out - Chequebook Order Fee,1003 - FE,,,,,,,
FEE,NA,0014,0259,98,,,ONLINE_BANKING,ADJUSTMENT_CREDIT,Funds In - Chequebook Fee Adjustment - Credit,1003 - FE,,,,,,,
FEE,NA,0014,0258,98,,,ONLINE_BANKING,ADJUSTMENT_DEBIT,Funds Out - Chequebook Fee Adjustment - Debit,1003 - FE,,,,,,,
FEE,NA,0060,0858,,,,AUTOMATED,SERVICE_CHARGE,Funds Out - Overdraft Fee,1003 - FE,,,,,,,
FEE,NA,0060,7002,,,,ONLINE_BANKING,ADJUSTMENT_CREDIT,Funds In - Overdraft Fee Adjustment - Credit,1003 - FE,,,,,,,
FEE,NA,0060,7001,,,,ONLINE_BANKING,ADJUSTMENT_DEBIT,Funds Out - Overdraft Fee Adjustment - Debit,1003 - FE,,,,,,,
FEE,NA,0015,0261,,,,AUTOMATED,SERVICE_CHARGE,Funds Out - Fast Card Replacement Fee,1003 - FE,,,,,,,
FEE,NA,0015,0281,,,,ONLINE_BANKING,ADJUSTMENT_CREDIT,Funds In - Fast Card Replacment Fee Adjustment - Credit,1003 - FE,,,,,,,
FEE,NA,0015,0280,,,,ONLINE_BANKING,ADJUSTMENT_DEBIT,Funds Out - Fast Card Replacment Fee Adjustment - Debit,1003 - FE,,,,,,,
FEE,NA,0027,0276,98,,,AUTOMATED,SERVICE_CHARGE,Funds Out - Stop Payment Fee,1003 - FE,,,,,,,
FEE,NA,0027,0348,98,,,ONLINE_BANKING,ADJUSTMENT_CREDIT,Funds In - Stop Payment Fee Adjustment - Credit,1003 - FE,,,,,,,
FEE,NA,0027,0347,98,,,ONLINE_BANKING,ADJUSTMENT_DEBIT,Funds Out - Stop Payment Fee Adjustment - Debit,1003 - FE,,,,,,,
FEE,NA,0010,0134,98,,,AUTOMATED,SERVICE_CHARGE,"Funds Out - Non-Sufficient Funds Fee (Customer Written Cheque, Pre-Authorized Withdrawl)",1003 - FE,,,,,,,
FEE,NA,0010,0164,98,,,ONLINE_BANKING,ADJUSTMENT_CREDIT,Funds In - NSF Fee Adjustment - Credit,1003 - FE,,,,,,,
FEE,NA,0010,0249,98,,,ONLINE_BANKING,ADJUSTMENT_DEBIT,Funds Out - NSF Fee Adjustment - Debit,1003 - FE,,,,,,,
FEE,NA,0011,0250,98,,,AUTOMATED,SERVICE_CHARGE,Funds Out - Bad Cheque Fee (Cheque deposit from a 3rd party),1003 - FE,,,,,,,
FEE,NA,0011,0287,98,,,ONLINE_BANKING,ADJUSTMENT_CREDIT,Funds In - Bad Cheque Fee Adjustment - Credit,1003 - FE,,,,,,,
FEE,NA,0011,0286,98,,,ONLINE_BANKING,ADJUSTMENT_DEBIT,Funds Out - Bad Cheque Fee Adjustment - Debit,1003 - FE,,,,,,,
FEE,NA,0025,0272,98,,,AUTOMATED,SERVICE_CHARGE,Funds Out - Inactive Account Fee,1003 - FE,,,,,,,
FEE,NA,0025,0335,98,,,ONLINE_BANKING,ADJUSTMENT_CREDIT,Funds In - Inactive Fee Adjustment - Credit,1003 - FE,,,,,,,
FEE,NA,0025,0334,98,,,ONLINE_BANKING,ADJUSTMENT_DEBIT,Funds Out - Inactive Fee Adjustment - Debit,1003 - FE,,,,,,,
FEE,NA,0039,7101,98,,,AUTOMATED,SERVICE_CHARGE,Funds Out - Assisted Transaction Fee,1003 - FE,,,,,,,
